var,ig,attn
CPI_KR_YoY,1.3023548,0.034296885
CNY_USD,0.007496249,0.03789044
DXY_Broad,0.04475813,0.03555981
JPY_USD,0.010998524,0.032923877
NatGas_HH,0.04401112,0.042357687
Oil_Brent,0.009294492,0.03783137
Oil_WTI,0.013347042,0.03494567
USD_KRW,0.015749762,0.02399744
US_YieldSpread,0.038517084,0.03765586
VIX,0.018367648,0.029220307
CPI_US_YoY,0.010021168,0.026119387
CPI_XM_YoY,0.026106382,0.035527535
China_CPI,0.018360792,0.03875278
Copper,0.0046081953,0.034687016
Corn,0.0057406197,0.030785676
FedFunds,0.01647777,0.02986547
JP_Interbank3M,0.02378812,0.03292607
KR_Exports,0.20200902,0.05451061
KR_Imports,0.030321911,0.024870902
KR_Interbank3M,0.025627531,0.033685066
KR_LongRate,0.020569753,0.026565308
Rate_ECB,0.03648848,0.04936061
Rate_KR,0.03460475,0.030783277
US_ConsConf,0.027484018,0.025887515
US_CoreCPI_idx,0.017973712,0.0502442
US_M2,0.02541765,0.028711915
US_PPI,0.02523313,0.027969595
US_Unemp,0.026389359,0.03298478
Wheat,0.020489266,0.03908294
